출원인,출원일,발명의 명칭,Original IPC All,요약,WIPS ON key
Jinah Kim-Perek,2017-11-17,Easy wash car seat cover,A47C-031/11 | B60N-002/60 | B60N-002/28 | B60N-003/10 | B65D-088/22 | B65D-088/54 | B65D-090/20 | B67D-007/02 | B60P-003/22,"An apparatus for a universal child car seat cover is provided for use with a child car seat. The child car seat cover comprises an absorbent material joined with a waterproof lining that covers the child car seat and receives a seated child. The absorbent material protects the child car seat from spills and contaminants, and covers any potentially dangerous or uncomfortable surfaces on the underlying child car seat. Seat belt openings may be closed around seat belts of the child car seat to prevent passage of spills onto the child car seat. A pocket permits an entirety of the child car seat cover to be rolled and tucked into the pocket. Cup holder openings provide access to cup holders of the child car seat. A drawstring within a peripheral channel may be cinched to fixate the child car seat cover on the child car seat.",4921009002208
Huang Chunguang,2018-12-07,Automobile safety seat,B60N-002/427 | B60N-002/07,"The invention relates to the technical field of safety seats, in particular to an automobile safety seat. The automobile safety seat includes a seat back, a seat base, and a seat sliding rail, the seat base is fixed to an automobile chassis through the seat sliding rail, and the seat back and the seat base are connected through a rotating device; the rotating device includes an automobile seat angle regulator and an emergency adjusting unit, and the seat back is further internally provided with a locking assembly of the emergency adjusting unit;one end of the rotating device is connected withthe seat base through the automobile seat angle regulator, and the other end of the rotating device is connected with the seat back through the emergency adjusting unit; a signal wire of an unlockingassembly is connected with an ECU of an automobile, a collision signal is transmitted to the ECU through a sensor on an automobile body, the locking assembly is controlled to unlock through the ECU, and thus the seat back is rotated around the emergency adjusting unit.When danger happens, the automobile safety seat removes the original posture of the seat, under the action of inertia, passengers and the seat move to the rear part at the same time, and the fact that the front row space is reduced and the injury on bodies of the passengers is caused is avoided.",8421092001698
"Evergrande new energy automobile Investment Holding Group Co.,Ltd.",2020-10-19,"Vehicle seat safety control method and device, terminal and vehicle seat",B60N-002/427 | B60N-002/02 | B60N-002/16,"The invention relates to a vehicle seat safety control method and device, a terminal and a vehicle seat. When a system monitors that an object gets close to the vehicle roof, the system can obtain thecharacteristic value of the object above the vehicle roof; and the obtained characteristic value is compared with a preset characteristic value. When the obtained characteristic value is larger thanor equal to the preset characteristic value, the system opens the exhaust valve on the air bag, air in the air bag is rapidly released, the cushion located on the upper portion moves towards the vehicle bottom direction by means of the weight of the cushion or the gravity of the passenger, the sitting height of the passenger is reduced, and the space above the head of the passenger is increased. Therefore, pre-judgment is carried out in advance, the height of the cushion is reduced in time, and the passenger escape probability is effectively improved. Meanwhile, when the object meeting the triggering condition is monitored above the roof, the space above the head of the passenger is increased in time through the safety control method so that the vehicle has more deformation space to absorbpressed energy, the damage of deformation of the roof to the head of the passenger in the vehicle is effectively reduced, and the driving safety of the vehicle is guaranteed.",8421092007660
"CHONGQING YANFENG ADIENT AUTOMOTIVE COMPONENTS Co.,Ltd.",2020-11-25,Bidirectional adjustment waist massage device for automobile seat,B60N-002/66 | B60N-002/90 | A61H-007/00,"The invention discloses a bidirectional adjustment waist massage device for an automobile seat. The bidirectional adjustment waist massage device comprises a supporting assembly, two massage mechanisms, wherein each massage mechanism comprises a rotating wheel rotationally installed in the supporting assembly, the middle of each rotating wheel is in threaded connection with a screw rod, and a massage assembly is installed at the upper end of each screw rod; a massage driving mechanism, which is used for driving the rotating wheel to rotate, wherein under the driving of the massage driving mechanism, the screw rod can move in the axial direction of the rotating wheel; a mounting part, which is used for being fixedly connected with a seat backrest, wherein the supporting assembly is mountedon the mounting part in a sliding manner; and a lifting driving mechanism, which is arranged between the mounting part and the supporting assembly and used for driving the supporting assembly to slideup and down relative to the mounting part. The bidirectional adjustment waist massage device has the beneficial effects that the technical obstacle that a massage device is integrally designed on a backrest is broken through, the waist can be massaged in a fixed-point and walking mode, the massage head is prevented from making contact with the waist of a driver and passengers all the time when the automobile seat is not used, and the safety of the seat can be guaranteed.",8421092007666
Tang Xin,2019-01-07,Control method of vehicle seat suspension system based on electrorheological fluids,B60N-002/52 | G05D-015/01,"The invention provides a control method of a vehicle seat suspension system based on electrorheological fluids. The control method controls the damping of a damper mechanism using the electrorheological fluids, installed in the seat suspension system, and the rigidity of an air spring, and the control method collects seat suspension acceleration signals, air spring air pressure signals, and seat height signals and adjusts the damping of the damping mechanism and the rigidity of the air spring by stopping the processing step by a timer, so as to reduce or even eliminate vibration transmitted tothe seat and improve riding comfort of the seat. In addition, the control method of a vehicle seat suspension system based on electrorheological fluids can also adjust the seat height by stopping theprocessing step by a button to enable the driver to find a suitable driving posture, and also to improve the comfort of the seat.",8421091003721
Wonderland Switzerland AG,2020-08-10,"Methods, apparatus and systems for securing an infant car seat to a vehicle seat with a tight fit and without using a detachable vehicle installation base or a vehicle seat belt, and ride-hailing methods relating to same",B60N-002/28 | A47C-007/62 | A47D-001/10 | B60N-002/26 | B60N-002/90,"An infant car seat system includes an infant car seat with an integrated anchor system to conveniently secure the infant car seat to a vehicle seat, without using a detachable vehicle installation base and without using a vehicle seat belt. The anchor system is coupled to the infant car seat at one or more mechanical constraining points positioned based on the center of gravity of the infant car seat and respective anchor points at which the anchor system engages with vehicle lower anchors. The anchor system may be a rigid anchor system or a belted anchor system, and the system may include one or more of a release actuator for a quick disconnect mechanism, an adjustment foot to accommodate different vehicle seats and ensure a tight fit, and/or one or more storage compartments to store parts of the anchor system when unused.",1021050000824
WONDERLAND SWITZERLAND AG,2020-08-10,"METHODS, APPARATUS AND SYSTEMS FOR SECURING AN INFANT CAR SEAT TO A VEHICLE SEAT WITH A TIGHT FIT AND WITHOUT USING A DETACHABLE VEHICLE INSTALLATION BASE OR A VEHICLE SEAT BELT, AND RIDE-HAILING METHODS RELATING TO SAME",B60N-002/28 | B60N-002/90 | A47C-007/62 | A47D-001/10 | B60N-002/26,"An infant car seat system includes an infant car seat with an integrated anchor system to conveniently secure the infant car seat to a vehicle seat, without using a detachable vehicle installation base and without using a vehicle seat belt. The anchor system is coupled to the infant car seat at one or more mechanical constraining points positioned based on the center of gravity of the infant car seat and respective anchor points at which the anchor system engages with vehicle lower anchors. The anchor system may be a rigid anchor system or a belted anchor system, and the system may include one or more of a release actuator for a quick disconnect mechanism, an adjustment foot to accommodate different vehicle seats and ensure a tight fit, and/or one or more storage compartments to store parts of the anchor system when unused.",1221490569742
MARTUR ITALY S.R.L.,2019-04-17,SLIDING DEVICE FOR A VEHICLE SEAT,B60N-002/08 | B60N-002/07,"The present invention relates to a sliding device (1) for a vehicle seat. The sliding device comprises a pair of parallel slideways (3a, 3b), each of which comprises a lower rail (5a, 5b), an upper rail (7a, 7b) slidably mounted to the lower rail and a latch (21a, 21b) for allowing/preventing a movement of the upper rail relative to the lower rail; a releasing member (29) is provided for driving said latches to a position in which the upper rails are free to move relative to the lower rails. According to the invention, each latch (21a, 21b) comprises a rear portion which is bent into a “U”-like shape and comprises a lower leg carrying latching elements (37a, 37b) configured to cooperate with corresponding latching elements (41a, 41b) provided in the lower rail and an upper leg configured to engage the releasing member (29). The design of the latches of the sliding device of the invention allows to improve the reliability of said sliding device.",5421008001583
Autoliv Development AB,2019-03-20,SIDE AIRBAG DEVICE AND VEHICLE SEAT PROVIDED WITH SAME,B60R-021/231 | B60N-002/64 | B60R-021/207 | B60R-021/217 | B60N-002/68 | B60R-021/237 | B60R-021/26 | B60R-021/233,"[Problem]To provide: a side airbag device capable of quickly and properly restraining a passenger in the initial stage of deploying an airbag; and a vehicle seat provided with the side airbag device.[Resolution Means]A side airbag device is provided with: an airbag disposed inside a side supporting part of a seat, that restrains an occupant by expanding and deploying in the event of a vehicle collision; and an inflator that supplies an expansion gas to the airbag. Furthermore, the airbag is folded and stored in the side supporting part in an extended condition such that the vertical direction is the longitudinal direction. Furthermore, a lower part of the airbag in the stored condition is folded a plurality of times in the longitudinal direction to form a lower compressed part.",5421008001627
"Brose Fahrzeugteile SE & Co. Kommanditgesellschaft, Coburg",2017-09-07,"METHOD FOR CONTROLLING MASSAGE UNITS OF A MASSAGE APPARATUS ARRANGED IN A SEAT, SEAT ARRANGEMENT FOR A VEHICLE OR IN A VEHICLE",B60N-002/90,"Method for controlling massage units (2-1 to 2-n) of a massage apparatus arranged in a seat (3) in a vehicle (10) for massaging an occupant, having the following method steps of: controlling (S2) massage units (2-1 to 2-n) integrated in the seat (3) on the basis of an audio entertainment signal (4); and changing (S4) an intensity of the massage provided by the massage units (2-1 to 2-n) on the basis of the entertainment signal (4) in a manner adapted to current operating information (8) relating to the vehicle (10). A seat arrangement for a vehicle or in a vehicle (10) for carrying out such a method is also involved.",1521007010077
Wonderland Switzerland AG,2019-04-15,Car seat with belt guide,B60N-002/42 | B60N-002/28,"A car seat with belt guide disposed at the side of the seat shell is for redirecting the shoulder belt when the car seat is installed on the vehicle seat, passed and fastened by the seat belt of the vehicle seat. The redirection of shoulder belt improves the symmetry of forces encountered by the vehicle seat and also improves the kinetics of the car seat during a crash. A break-away feature in the belt guide advantageously absorbs forces at different times during a crash.",4921008002124
"Nivel Parts & Manufacturing Co., LLC",2016-10-27,Convertible golf cart seat assembly,B60N-002/70 | B60N-002/36 | B60N-002/02 | B60N-002/58 | B60N-002/38 | B60N-002/34 | B60N-002/24 | B60N-002/75 | A47C-017/207 | A47C-017/23 | A47C-017/165,"A convertible golf cart seat assembly is disclosed. The convertible golf cart seat assembly includes a main seat frame attached to the existing golf cart structure, a plastic stationary cargo board supported by the main seat frame, a plastic flip board rotatably hinged to the main seat frame, and a seat with a plastic backer board attached to the flip board. The hinge between the flip board and the main seat frame includes flip board flanges on the flip board and cargo board flanges on the stationary cargo board that abut each other and provide strength to the cargo bed created by the stationary cargo board and the flip board.",4921008002126
Alison P. Burkholder,2019-08-13,Mobile base for infant car seat,B62B-005/08 | B62B-007/14 | B60N-002/28,"Upper and lower platforms are connected by at least one adjustable telescoping pillar. The lower platform has bottom surface with at least one, e.g., at least three wheels affixed thereto. At least one engagement structure is mounted on a top surface of the upper platform to engage an infant car seat. When an infant car seat is mounted on the upper platform, a child, secured in the infant car seat, can be propelled to or from a motor vehicle by pushing on the infant car seat with the wheels in contact with the ground.",4921008002262
Beijing Jiaotong University,2017-11-06,Safety seat with backrest forward leaning damping energy absorption hydraulic cylinder,B61D-033/00 | B60N-002/427 | B60N-002/42 | B64D-011/06 | B63B-029/04,"A safety seat of a delivery vehicle is characterized in that a hydraulic cylinder damping device is arranged between a backrest and a supporting bottom frame of the safety seat, the hydraulic cylinderdamping device is provided with a switch valve, a piston rod of a hydraulic cylinder is hinged to the backrest, a hanging hammer is arranged on the bottom frame, and a hanging line of the hanging hammer is connected with a pull bolt of the switch valve. Under the normal operation condition, the oil circuit of the hydraulic cylinder does not circulate under the restraining action of the hydrauliccylinder, so that the backrest is in a normal posture. When a collision accident occurs, the moment generated when a rear passenger strikes the upper part of the backrest in the front row enables theoil circuit of the hydraulic cylinder to be transferred to the front from the rear in the running direction, and the backrest in the front row is made to lean forwards around a fixed pin shaft. By setting the parameters such as the stroke of the piston rod, the rear passenger can be protected, and the front passenger can also be protected. According to the safety seat, when the vehicle is not subjected to emergency braking, the seat back does not lean forwards, and the safety is good. When the vehicle is braked in emergency, forward leaning of the seat back is very sensitive and high in reliability.",8421081004758
"B/E Aerospace, Inc.",2020-01-07,SEAT HEAT AND VENTILATION SYSTEMS AND VEHICLE SEAT ASSEMBLIES,B60N-002/56,"A conditioning system for a vehicle passenger seat and a vehicle passenger seat assembly, the system including at least one conditioning unit including a Venturi device configured to generate air flow relative to a seat element and a temperature element configured to heat or cool the Venturi device or the air flow, a temperature sensor configured to sense a temperature in relation to the at least one conditioning unit, and a controller communicatively coupled to the temperature sensor and operably coupled to the at least one conditioning unit. The controller is configured to operate in a first operating condition in which the Venturi device is activated and the temperature element is inactive to ventilate the seat, and a second operating condition in which both the Venturi device and the temperature element are activated to heat or cool the seat.",5421007001844
"Brose Fahrzeugteile GmbH & Co. Kommanditgesellschaft, Coburg",2017-12-06,"Vehicle seat having a locking mechanism for locking a cushion carrier, which can be lowered at least in sections, during an adjustment of a backrest",B60N-002/22 | B60N-002/30 | B60N-002/68 | B60N-002/70 | B60N-002/02,"A vehicle seat having a seat subframe, a cushion carrier for a seat part of the vehicle seat, wherein the cushion carrier is adjustably mounted on the seat subframe in order to lower at least one section of the cushion carrier, and a backrest which can be pivoted, relative to the seat subframe, in a comfort region for adjustment of a usage position of the backrest and in a transition region outside of the comfort region toward the cushion carrier into a loading position, wherein there is a locking mechanism which, during adjustment of the backrest in the comfort region, locks the cushion carrier against adjustment and permits adjustment of the cushion carrier by the adjustment of the backrest when the backrest is pivoted beyond the comfort region toward the loading position.",4921007001708
"Ford Global Technologies, LLC",2018-01-08,System for smart child seat vehicle integration,H04W-004/80 | H04W-004/38 | H04W-004/90 | B60N-002/00 | E05F-015/73 | E05F-015/71 | B60H-001/00 | G05B-019/042 | G01S-019/13 | E05F-015/77,"A system for a vehicle comprises a controller, programmed to output a warning to a registered mobile device via a server over a wireless network, responsive to a safety event indicative of a child being left in the vehicle in a dangerous condition triggered responsive to detection of presence of the child in a car seat and failure to receive confirmation that an adult occupant is still in the vehicle.",4921007006067
"Ningbo Junlian Zhixing Technology Co.,Ltd.",2020-11-10,Seat adjusting method and device and vehicle-mounted system,B60N-002/02 | B60R-016/037 | G06K-009/00,"The invention discloses a seat adjusting method and device and a vehicle-mounted system. The method comprises the steps: acquiring current position data and a real-time road image shot by a camera; determining a corresponding road type according to the current position data and the real-time road image; determining a corresponding preset seat adjustment strategy according to the road type and thereal-time weather condition; automatically adjusting the seat according to the preset seat adjustment strategy so that the adjustment strategy of the seat is determined according to the current road conditions and weather conditions, the seat is automatically adjusted according to the adjustment strategy, the seat can be helped to be adjusted in real time according to the driving scene, it is guaranteed that the view of a driver can meet the requirement for safe driving, meanwhile, the wrapping degree of the seat can be adjusted in real time when the vehicle passes through a bumpy area, and thus the driving safety and comfort of the vehicle are improved.",8421072011825
"TS TECH Co.,Ltd.",2014-09-18,Vehicle seat,B60N-002/427 | B60N-002/64 | B60N-002/62 | B60N-002/68,"The object of the invention is to provide a vehicle seat which can improve the degree of freedom in the design of the vehicle seat. The vehicle seat with a seat cushion S1 and a seat back S2 includes:right and left side frames 20 constituting right and left frames of the seat back; a pressure-receiving member 40 disposed between the right and left side frames 20 and configured to receive a load from an occupant; and driving mechanisms 50 disposed at the right and left sides of the pressure-receiving member 40 and configured to cause a right end portion or a left end portion of the pressure-receiving member 40 to move from an initial position to an advanced position that is located frontward of the initial position or to move from the advanced position to the initial position, wherein eachdriving mechanism 50 includes a linkage mechanism 51 configured to be connected to the pressure-receiving member 40 and a driving source 52 configured to actuate the linkage mechanism 51, and whereinthe linkage mechanism 51 is configured in such a way that when a passenger inputs the at least predetermined load to the pressure-receiving member 40, the pressure-receiving member 40 moves to a backward position that is located rearward of the initial position.",8421071001582
"YANFENG ADIENT SEATING Co.,Ltd.",2019-10-29,System for adjusting headrest of automobile seat and control method thereof,B60N-002/806,"The invention provides a system for adjusting a headrest of an automobile seat. The system comprises pressure sensors, a safety belt reminding device, an executing mechanism, a Hall sensor connected with the executing mechanism, a processor electrically connected with the pressure sensors, the safety belt reminding device and the Hall sensor and a controller connected with the executing mechanismand the processor. The plurality of pressure sensors are arranged between the face cover of the headrest and the foam, are in matrix type arrangement and are used for collecting the pressure sensing signals of the head of a passenger to the headrest. The invention further provides a control method of the system for adjusting the headrest of the automobile seat. According to the system for adjusting the headrest of the automobile seat, the matrix type pressure sensors are arranged on the headrest, so that the head position is recognized, and the headrest is intelligently adjusted.",8421071004894
"ZHUJI MAGUQIN TECHNOLOGY Co.,Ltd.",2019-07-20,Main driving seat for new energy automobile,B60N-002/22 | B60N-002/90,"The invention discloses a main driving seat for a new energy automobile. The seat comprises a seat cushion, a sliding groove, a base, a fixing seat, a backup plate, a sliding block, a first rack, a second rack, a connecting rod, a supporting plate, a pedal, a connecting seat, a first spring, a fixing bolt, an air pump, an air pipe, a switch, a fixing plate, an air bag, a sponge cushion, a fixing block, a rotating shaft, a rotating rod, an adjusting bolt, a connecting plate, a fixing rack, a gear, a second spring, a headrest and a massage head. The main driving seat for the new energy automobile is simple in structure and novel in design, the placement position of the seat is convenient to adjust, the seat is ensured to be stably placed in the using process, the driving comfort of a driveris improved, driving of the driver is facilitated, a user can conveniently adjust the backup plate through the arranged adjusting mechanism in the using process, the user can conveniently use the backrest, the comfort degree of the user in the driving process is improved, the practical value is high, and the seat is suitable for application and popularization.",8421071011129
"Jinning Technology (Guangzhou) Co.,Ltd.",2020-11-09,Automobile multifunctional seat intelligent control method and system based on driving data,B60N-002/90 | A61H-009/00 | B60N-002/56 | H04M-001/725,"The invention discloses an automobile multifunctional seat intelligent control method based on driving data, and the method achieves the centralized induction intelligent control of heating, ventilation/refrigeration and massage functions through arranging a multifunctional seat system on an automobile main driving seat, and starts from the demands of a driver on the two aspects of health care andsafety guarantee based on the driving data. The driving data is closely associated with the massage system, and the working mode and the working parameters of the massage system are intelligently triggered by adopting the driving data, so that the massage system has a health care function on one hand and a driving safety guarantee function on the other hand. The invention further discloses a multifunctional seat system, intelligent adjustment of temperature and on-off massage of the seat can be achieved, silent, comfortable and anti-comfortable local body feeling and external stimulation areprovided for a driver, and the purposes that the driver relieves or eliminates fatigue, refreshes or stabilizes emotion, overcomes fatigue driving and improves driving safety indexes are achieved.",8421071011137
Aguti Produktentwicklung & Design GmbH,2019-07-17,Belt framework for a vehicle seat or a vehicle-seat bench,B60N-002/68 | B62D-025/20,"BELT FRAMEWORK FOR A VEHICLE SEAT OR A VEHICLE-SEAT BENCH ABSTRACT A belt framework (1) for a vehicle seat or a vehicle-seat bench, wherein the belt framework (1) comprises a vertical support (2 - 4) and a horizontally running transverse strut, wherein the transverse strut (5), is arranged on the vertical support (2 - 4), wherein a component of a passenger-restraint system is fastened on an attachment element of the transverse strut (5) when the vehicle seat and the belt framework (1) are in an assembled state. The belt framework (1) is distinguished in that the belt framework (1) comprises a safety element (12), wherein the safety element (12) is present on the transverse strut (5), along a longitudinal axis of the transverse strut (5), wherein the safety element (12), together with the transverse strut (5), encloses the vertical supports (2 - 4). ",1020192006729
Laura Ellem Haymond,2018-11-07,Child seat restraining system and method of use,B60R-022/48 | B60N-002/00 | A44B-011/25 | A47D-015/00 | B60N-002/28,"A child car seat system includes a car seat having a strap with a restraining device to secure over a body of a child; a sensing system to be incorporated into the restraining device, the sensing system having a first sensor associated with a first half of the restraining device; a second sensor associated with a second half of the restraining device; a third sensor secured positioned within a body of the restraining device; a control system in electrical communication with the first, second, and third sensors; and an alarm in communication with the control system; the alarm is activated via the control system when the first sensor and the second sensor are separated from one another, such as when the restraining device is unsecure; and the third sensor is to alert the control system when the car seat is occupied.",4921006002187
"Shenzhen Inspection Data Technology (Jiangsu) Co., Ltd",2020-11-06,Intelligent automobile seat for assisting sleep,B60N-002/50 | B60N-002/06,"The invention relates to the technical field of automobile seats, and particularly discloses an intelligent automobile seat for assisting sleep. The seat comprises a cushion and a backrest with an adjustable elevation angle, and the lower portion of the cushion is connected to a base through a swing mechanism; the base and the swing mechanism are both of a bilateral symmetry structure. The swing mechanism comprises a first supporting arm, a second supporting arm, a third supporting arm, a first crank, a second crank and a connecting rod. The seat cushion, the swing mechanism, the base and thetwo independent driving units form a five-connecting-rod mechanism with double cranks, the base can slide back and forth on the sliding rail through the third driving unit, multiple swing modes can beachieved according to control of the multiple driving units, the sleeping environment of a baby in a cradle is simulated, and the baby can be more comfortably swung. By means of multiple swing modes,passengers on the seat can quickly fall asleep.",8421062012762
HUAIBEI VOCATIONAL & TECHNICAL College,2020-11-09,Automobile seat adjusting device,B60N-002/08,"The invention discloses an automobile seat adjusting device, and relates to the technical field of seat adjustment. When a seat is adjusted, a locking arm is driven to rotate through extension of a first telescopic rod, so that a locking claw is driven to move upwards through a hinge arm, and the locking claw and a locking head are separated from each other; reverse driving is carried out when locking is needed, so that the locking claw and the locking head are mutually locked; in addition, a second telescopic rod is used for stretching out and drawing back, so that air between the locking groove and the locking head can be sucked into the connecting cylinder and discharged from a one-way valve II, and the adsorption force between the locking head and the locking claw is improved; and therefore, locking can be realized through the locking mode that the first telescopic rod drives the locking claw to apply force downwards, the locking mode that the elastic reset piece is used for continuous assistance and the locking mode that negative pressure is formed through suction, and a good locking effect can be achieved through mutual cooperation of the three modes.",8421061010306
"ZHEJIANG GEELY HOLDING GROUP Co.,Ltd. | Ningbo Geely Automobile Research & Development Co.,Ltd.",2020-11-23,Automobile seat,B60N-002/90 | B60N-002/894 | B60N-002/58 | B60N-002/02,"The invention provides an automobile seat, and belongs to the technical field of automobiles. The technical problem of how to enable the seat to meet the use requirements of different passengers is solved. The automobile seat comprises a headrest and a backrest, a neck support is arranged between the headrest and the backrest; the automobile seat further comprises a fan-shaped toothed plate and afirst driving piece fixed in the backrest, the first driving piece can drive the fan-shaped toothed plate to swing up and down relative to the backrest, and the neck support is provided with an arc-shaped plate-shaped supporting part. The neck support is fixed to the fan-shaped toothed plate, and the fan-shaped toothed plate is located on the arc-shaped concave side of the supporting part. The automobile seat can meet the use requirements of different passengers.",8421061010319
MARTUR ITALY S.R.L.,2019-01-30,RECLINING DEVICE FOR A VEHICLE SEAT,B60N-002/235 | B60N-002/22,"The present invention relates to a reclining device (1) for a vehicle seat of the kind comprising a first plate carrying an internal gear (5) and a second plate carrying an external gear (11) configured to cooperate with the internal gear. The reclining device includes a first and second wedge elements (17a, 17b) for exerting a wedge effect and preventing accidental, undesired rotation of the external and internal gears relative to each other. The reclining device (1) further comprises a lock spring (21). According to the invention the lock spring (21) comprises a wedge engaging element (35) that can be brought to abut and engage a lock spring abutment surface (37a, 37b) of a wedge element. Thanks to this arrangement, the lock spring directly interacts with the wedge elements and directly restricts self-rotation of said wedge elements, which avoids any loss of force and function between said lock spring and said wedge elements.",5421005001691
Expliseat,2018-02-06,VEHICLE SEAT WITH TILTING BACKREST,B60N-002/427,"Vehicle seat fixed to the floor of a cabin of a vehicle and which is able to absorb the impact of a passenger seated behind. It comprises at least two uprights (20) per backrest, these being positioned substantially vertically and engaged via a lower end (30) in the fixed framework (32) of the seat in such a way as to be releasable through upward translational movement so that they can disengage upward under the effect of an impact on a rear face, and are mounted with the ability to rotate about at least one fixed axis of the fixed framework (32) so as to be able to pivot forwards after becoming disengaged. At least one deliberate mechanical weak link positioned between each upright (20) and the framework (32) blocks the translational movement of the upright below a determined force corresponding to the impact. Application to aircraft seats.",1521004005057
Adient Luxembourg Holding S.a r.l.,2015-12-23,Latching device and a slouch seat including the latching device,B60N-002/30 | B60N-002/22,A vehicle slouch seat having a carriage that includes a front side and a rear side. A link element is located on a rear side of the carriage and a slideable element is located on the front side of the carriage. A cushion is movable in an upward direction with the carriage connected to a base structure at one of a plurality of latch points. The cushion is prevented being rotated in the upward direction via a cushion rotational prevention structure with the carriage connected to the base structure at another one of the plurality of latch points.,4921005002128
"Ford Global Technologies, LLC",2019-02-13,Articulating flexmat seat suspension,B60N-002/60 | B60N-002/62 | B60N-002/66 | B60N-002/54 | B60N-002/50 | A61G-005/10 | B60N-002/02 | B60N-002/90 | A47C-001/023,A vehicle seating assembly includes a seat carrier defining a central opening. A seatback is pivotally coupled to the seat carrier. A seat flexmat is disposed in the central opening and operable between flexed and unflexed conditions. The vehicle seating assembly also includes a first thigh extension that is extendable and rotatable relative to the seat carrier and a second thigh extension that is extendable and rotatable relative to the seat carrier. The first thigh extension includes a first thigh flexmat operable between flexed and unflexed conditions. The second thigh extension includes a second thigh flexmat operable between flexed and unflexed conditions.,4921005002129
"TS Tech Co., Ltd.",2019-06-05,Vehicle seat,B60N-002/66 | B60N-002/90 | B60N-002/02 | B60N-002/80 | B60N-002/64,"Provided is to stabilize a fixed state of each bag body provided at a vehicle seat and configured to expand to push a corresponding one of the shoulders of a seated passenger. Of a seat back provided at the vehicle seat, each shoulder support configured to support a corresponding one of the shoulders of the seated passenger includes an air cell configured to expand by injection of air. The air cell includes protrusions extending in a predetermined direction and provided at respective end portions of the air bag in the extending direction thereof. The air cell is attached to the inside of the seat back in such a manner that each of the protrusions provided at respective end portions in the extending direction is fixed to a corresponding one of fixing positions separated from each other in the width direction of the vehicle seat.",4921005002130
ITALDESIGN-GIUGIARO S.P.A.,2018-10-22,System for managing space available and seats for passengers for use of a passenger transport system,B61D-041/04 | G06Q-050/30 | G06Q-010/02 | B60N-002/00 | B61L-015/00 | B61L-027/00,"A system for managing space available and seats for passengers in a passenger transportation system comprising at least one train including a plurality of cars, each car having a corresponding predetermined number of seats, is described. The system comprises sensors for sensing the occupancy of the space available to passengers, a processor for managing the space available to passengers, and display devices for displaying the availability of free space for passengers, capable of signaling the availability of free space for passengers or signaling the unavailability of free space for passengers in a different first or second signaling mode, in connection with each predetermined section of the train.",4921005002244
Airbus Operations GmbH,2018-01-19,Linear guide mechanism for a passenger seat,B64D-011/06 | B60N-002/015,"A linear guide mechanism for a passenger seat includes a movable carriage and a guide rail. The linear guide mechanism further includes a guide unit for positioning the movable carriage on the guide rail. The guide unit includes at least one guide element and a fastening element. Moreover, the guide unit is substantially fixed to the movable carriage by the fastening element. The guide unit and the movable carriage are displaceably mounted on the guide rail.",4921005002332
GUILIN University OF AEROSPACE TECHNOLOGY,2020-11-02,Sliding rail mechanism of automobile seat and automobile,B60N-002/07 | B60N-002/54 | B60H-003/06,"The invention discloses a sliding rail mechanism of an automobile seat and an automobile, and relates to the field of automobiles. The sliding rail mechanism comprises an automobile body, and drivingwheels are installed around the bottom of the automobile body. By arranging an air cushion, an air pipe, a first sliding groove, a sliding plate, a buffer spring and a telescopic rod, when large vibration occurs, the sliding plate moves downwards in the first sliding groove, then the buffer spring and the air cushion are extruded, the buffer spring is stressed and compressed, the telescopic rod isstressed and contracted, the air cushion is stressed and deformed and compressed, therefore vibration can be buffered, passengers are prevented from feeling large vibration during riding, the dampingeffect is improved, the riding experience effect of the passengers is improved, the telescopic rod is arranged in the buffer spring and can be prevented from bending, the buffer spring is made of manganese steel, and the use effect and the pressure resistance of the buffer spring can be improved. A user only needs to open a valve, air can be exhausted from the air pipe, and therefore the air cushion can be contracted conveniently.",8421052010059
"CHONGQING CHENGSHUN AUTO PARTS MANUFACTURING Co.,Ltd.",2017-12-18,Car seat,B60R-011/02 | B60N-003/00 | B60N-002/90,"The invention discloses a car seat. The car seat comprises a backrest and a seat cushion, and the seat cushion is vertically and fixedly connected with the backrest; the car seat further comprises a box body, a shell body, a clamp and a turnover device, an opening is formed in the backrest, and the shell body is disposed in the opening; the bottom end of the box body is hinged to the shell body, and the top end of the box body is provided with a stop lever for preventing the box body from being detached from the shell body; a panel of the box body is hinged to the top end of the box body, andthe box body is internally provided with the turnover device for turning over the panel; and a panel of the shell body is provided with the clamp for clamping objects. The car seat has the beneficialeffects that a clamping device of a multimedia carrier is conveniently arranged at the back of the car seat, and in an emergency situation, the clamping device can be quickly stowed to ensure the safety of passengers.",8421051001081
"YANFENG ADIENT SEATING Co.,Ltd.",2020-10-29,Automobile seat side armrest,B60N-002/75 | B60N-002/22,"An automobile seat side armrest includes an angle adjuster and a zipper, the angle adjuster includes a ratchet wheel and a pawl rotatably mounted on a base, respectively, the ratchet wheel has ratchetteeth, the pawl has pawl teeth, the ratchet teeth and the pawl teeth are meshed to define a locked state of the angle adjuster, the ratchet wheel has an unlocking handle, and the pawl has an unlocking stop block. The unlocking handle abuts against the unlocking stop block to push the pawl to be separated from the ratchet wheel to achieve unlocking, and the zipper is connected with the pawl to pull the pawl to be separated from the ratchet wheel to achieve unlocking. According to the side armrest of the automobile seat, the structure is simple, the locking state of the angle adjuster can be unlocked through rotation of the ratchet wheel relative to the pawl and can also be unlocked through the zipper, and therefore a larger stroke can be achieved. For the automobile seat with the turnoverbackrest, the side armrests can be laid flat in the reverse direction in the turnover state, so that elbows of a passenger can be laid down conveniently.",8421051009465
